flight.number,type,status,departure.iataCode,departure.icaoCode,departure.scheduledTime,arrival.iataCode,arrival.icaoCode,arrival.estimatedTime,Temperature (°F) Max,Temperature (°F) Avg,Temperature (°F) Min,Dew Point (°F) Max,Dew Point (°F) Avg,Dew Point (°F) Min,Humidity (%) Max,Humidity (%) Avg,Humidity (%) Min,Wind Speed (mph) Max,Wind Speed (mph) Avg,Wind Speed (mph) Min,Pressure (in) Max,Pressure (in) Avg,Pressure (in) Min,Precipitation (in),hour,day,month,year
4361,departure,active,lhe,opla,2024-05-14 00:20:00,dxb,omdb,2024-05-14t00:20:00.000,104,90.4,75,59,55.7,52,54,33.2,18,23,8.0,0,29.1,29.0,29.0,0,0,2,5,2024
3836,departure,active,lhe,opla,2024-05-14 09:55:00,doh,othh,2024-05-14t09:55:00.000,104,90.4,75,59,55.7,52,54,33.2,18,23,8.0,0,29.1,29.0,29.0,0,9,2,5,2024
500,departure,active,lhe,opla,2024-05-14 12:45:00,shj,omsj,2024-05-14t12:45:00.000,104,90.4,75,59,55.7,52,54,33.2,18,23,8.0,0,29.1,29.0,29.0,0,12,2,5,2024
186,departure,active,lhe,opla,2024-05-14 18:15:00,cmb,vcbi,2024-05-14t18:15:00.000,104,90.4,75,59,55.7,52,54,33.2,18,23,8.0,0,29.1,29.0,29.0,0,18,2,5,2024
4359,departure,active,lhe,opla,2024-05-14 14:55:00,dxb,omdb,2024-05-14t14:55:00.000,104,90.4,75,59,55.7,52,54,33.2,18,23,8.0,0,29.1,29.0,29.0,0,14,2,5,2024
855,departure,active,lhe,opla,2024-05-14 10:55:00,rkt,omrk,2024-05-14t10:55:00.000,104,90.4,75,59,55.7,52,54,33.2,18,23,8.0,0,29.1,29.0,29.0,0,10,2,5,2024
5586,departure,active,lhe,opla,2024-05-14 09:55:00,doh,othh,2024-05-14t09:55:00.000,104,90.4,75,59,55.7,52,54,33.2,18,23,8.0,0,29.1,29.0,29.0,0,9,2,5,2024
9148,departure,active,lhe,opla,2024-05-14 22:25:00,nng,zgnn,2024-05-14t14:36:00.000,104,90.4,75,59,55.7,52,54,33.2,18,23,8.0,0,29.1,29.0,29.0,0,22,2,5,2024
185,departure,active,lhe,opla,2024-05-14 21:15:00,shj,omsj,2024-05-14t21:15:00.000,104,90.4,75,59,55.7,52,54,33.2,18,23,8.0,0,29.1,29.0,29.0,0,21,2,5,2024
7913,departure,active,lhe,opla,2024-05-14 03:10:00,doh,othh,2024-05-14t03:10:00.000,104,90.4,75,59,55.7,52,54,33.2,18,23,8.0,0,29.1,29.0,29.0,0,3,2,5,2024
346,departure,active,lhe,opla,2024-05-14 23:40:00,bkk,vtbs,2024-05-14t23:40:00.000,104,90.4,75,59,55.7,52,54,33.2,18,23,8.0,0,29.1,29.0,29.0,0,23,2,5,2024
242,departure,active,lhe,opla,2024-05-14 04:35:00,auh,omaa,2024-05-14t04:35:00.000,104,90.4,75,59,55.7,52,54,33.2,18,23,8.0,0,29.1,29.0,29.0,0,4,2,5,2024
305,departure,active,lhe,opla,2024-05-14 13:00:00,khi,opkc,2024-05-14t13:00:00.000,104,90.4,75,59,55.7,52,54,33.2,18,23,8.0,0,29.1,29.0,29.0,0,13,2,5,2024
3813,departure,active,khi,opkc,2024-05-14 04:00:00,doh,othh,2024-05-14t03:55:00.000,104,90.4,75,59,55.7,52,54,33.2,18,23,8.0,0,29.1,29.0,29.0,0,4,2,5,2024
672,departure,active,khi,opkc,2024-05-14 15:25:00,isb,opis,2024-05-14t15:25:00.000,104,90.4,75,59,55.7,52,54,33.2,18,23,8.0,0,29.1,29.0,29.0,0,15,2,5,2024
945,departure,active,khi,opkc,2024-05-14 22:55:00,pek,zbaa,2024-05-14t23:04:00.000,104,90.4,75,59,55.7,52,54,33.2,18,23,8.0,0,29.1,29.0,29.0,0,22,2,5,2024
336,departure,active,khi,opkc,2024-05-14 16:40:00,dxb,omdb,2024-05-14t16:44:00.000,104,90.4,75,59,55.7,52,54,33.2,18,23,8.0,0,29.1,29.0,29.0,0,16,2,5,2024
330,departure,active,khi,opkc,2024-05-14 19:30:00,mux,opmt,2024-05-14t19:30:00.000,104,90.4,75,59,55.7,52,54,33.2,18,23,8.0,0,29.1,29.0,29.0,0,19,2,5,2024
402,departure,active,khi,opkc,2024-05-14 13:00:00,lhe,opla,2024-05-14t13:00:00.000,104,90.4,75,59,55.7,52,54,33.2,18,23,8.0,0,29.1,29.0,29.0,0,13,2,5,2024
709,departure,active,khi,opkc,2024-05-14 06:00:00,ist,ltfm,2024-05-14t05:33:00.000,104,90.4,75,59,55.7,52,54,33.2,18,23,8.0,0,29.1,29.0,29.0,0,6,2,5,2024
536,departure,active,khi,opkc,2024-05-14 18:00:00,skz,opsk,2024-05-14t19:55:00.000,104,90.4,75,59,55.7,52,54,33.2,18,23,8.0,0,29.1,29.0,29.0,0,18,2,5,2024
607,departure,active,khi,opkc,2024-05-14 02:45:00,dxb,omdb,2024-05-14t02:56:00.000,104,90.4,75,59,55.7,52,54,33.2,18,23,8.0,0,29.1,29.0,29.0,0,2,2,5,2024
