ID,Delay
1,delayed
2,delayed
3,delayed
4,delayed
5,delayed
6,delayed
7,delayed
8,delayed
9,delayed
10,delayed
11,delayed
12,delayed
13,delayed
14,delayed
15,delayed
16,delayed
17,delayed
18,delayed
19,delayed
20,on-time
21,delayed
22,delayed
23,delayed
24,delayed
25,delayed
26,delayed
27,delayed
28,on-time
29,delayed
30,delayed
31,on-time
32,delayed
33,delayed
34,delayed
35,delayed
36,delayed
37,delayed
38,delayed
39,delayed
40,on-time
41,delayed
42,delayed
43,delayed
44,delayed
45,delayed
46,delayed
47,delayed
48,on-time
49,delayed
50,delayed
51,delayed
52,delayed
53,delayed
54,delayed
55,delayed
56,on-time
57,delayed
58,delayed
59,delayed
60,delayed
61,delayed
62,delayed
63,on-time
64,delayed
65,delayed
66,delayed
67,delayed
68,delayed
69,delayed
70,delayed
71,delayed
72,delayed
73,delayed
74,delayed
75,delayed
76,delayed
77,delayed
78,delayed
79,delayed
80,delayed
81,delayed
82,on-time
83,delayed
84,delayed
85,delayed
86,delayed
87,delayed
88,delayed
89,delayed
90,delayed
91,delayed
92,delayed
93,delayed
94,delayed
95,delayed
96,delayed
97,delayed
98,delayed
99,delayed
100,delayed
101,on-time
102,delayed
103,delayed
104,delayed
105,on-time
106,delayed
107,delayed
108,delayed
109,delayed
110,on-time
111,delayed
112,delayed
113,delayed
114,delayed
115,delayed
116,delayed
117,delayed
118,delayed
119,on-time
120,delayed
121,delayed
122,delayed
123,delayed
124,delayed
125,delayed
126,delayed
127,delayed
128,delayed
129,delayed
130,delayed
131,delayed
132,delayed
133,delayed
134,delayed
135,delayed
136,delayed
137,delayed
138,delayed
139,delayed
140,delayed
141,on-time
142,on-time
143,delayed
144,delayed
145,on-time
146,delayed
147,delayed
148,delayed
149,delayed
150,delayed
151,delayed
152,delayed
153,delayed
154,delayed
155,delayed
156,delayed
157,delayed
158,delayed
159,delayed
160,delayed
161,delayed
162,delayed
163,delayed
164,delayed
165,delayed
166,delayed
167,delayed
168,on-time
169,delayed
170,delayed
171,delayed
172,delayed
173,delayed
174,delayed
175,delayed
176,delayed
177,delayed
178,delayed
179,delayed
180,delayed
181,delayed
182,delayed
183,delayed
184,delayed
185,delayed
186,delayed
187,delayed
188,on-time
189,delayed
190,delayed
191,delayed
192,delayed
193,on-time
194,delayed
195,delayed
196,delayed
197,delayed
198,delayed
199,delayed
200,on-time
201,delayed
202,delayed
203,delayed
204,on-time
205,on-time
206,on-time
207,delayed
208,delayed
209,delayed
210,delayed
211,on-time
212,delayed
213,delayed
214,delayed
215,delayed
216,delayed
217,delayed
218,delayed
219,delayed
