ID,Delay
1,delayed
2,on-time
3,on-time
4,on-time
5,delayed
6,on-time
7,on-time
8,on-time
9,on-time
10,on-time
11,on-time
12,on-time
13,on-time
14,delayed
15,delayed
16,on-time
17,delayed
18,delayed
19,delayed
20,on-time
21,on-time
22,delayed
23,on-time
24,on-time
25,on-time
26,on-time
27,on-time
28,on-time
29,delayed
30,delayed
31,on-time
32,delayed
33,on-time
34,on-time
35,on-time
36,on-time
37,delayed
38,delayed
39,delayed
40,on-time
41,on-time
42,on-time
43,delayed
44,on-time
45,on-time
46,on-time
47,delayed
48,on-time
49,on-time
50,on-time
51,on-time
52,on-time
53,on-time
54,on-time
55,on-time
56,on-time
57,on-time
58,on-time
59,delayed
60,on-time
61,delayed
62,delayed
63,on-time
64,delayed
65,delayed
66,delayed
67,on-time
68,delayed
69,delayed
70,delayed
71,on-time
72,delayed
73,delayed
74,on-time
75,delayed
76,delayed
77,delayed
78,delayed
79,delayed
80,on-time
81,on-time
82,on-time
83,on-time
84,on-time
85,delayed
86,on-time
87,on-time
88,on-time
89,on-time
90,delayed
91,on-time
92,on-time
93,on-time
94,delayed
95,delayed
96,on-time
97,delayed
98,on-time
99,delayed
100,on-time
101,on-time
102,on-time
103,on-time
104,delayed
105,on-time
106,on-time
107,on-time
108,delayed
109,on-time
110,on-time
111,delayed
112,on-time
113,delayed
114,on-time
115,delayed
116,delayed
117,on-time
118,delayed
119,on-time
120,on-time
121,delayed
122,delayed
123,on-time
124,on-time
125,on-time
126,on-time
127,on-time
128,delayed
129,on-time
130,delayed
131,delayed
132,on-time
133,on-time
134,delayed
135,on-time
136,delayed
137,on-time
138,delayed
139,delayed
140,delayed
141,on-time
142,on-time
143,on-time
144,on-time
145,on-time
146,on-time
147,delayed
148,on-time
149,delayed
150,on-time
151,on-time
152,on-time
153,on-time
154,on-time
155,on-time
156,delayed
157,delayed
158,on-time
159,on-time
160,delayed
161,delayed
162,on-time
163,on-time
164,on-time
165,on-time
166,delayed
167,delayed
168,on-time
169,on-time
170,on-time
171,on-time
172,on-time
173,delayed
174,on-time
175,on-time
176,on-time
177,on-time
178,on-time
179,on-time
180,on-time
181,on-time
182,on-time
183,on-time
184,on-time
185,on-time
186,on-time
187,on-time
188,on-time
189,on-time
190,on-time
191,delayed
192,on-time
193,on-time
194,delayed
195,delayed
196,on-time
197,delayed
198,on-time
199,on-time
200,on-time
201,on-time
202,on-time
203,on-time
204,on-time
205,on-time
206,on-time
207,delayed
208,on-time
209,on-time
210,on-time
211,on-time
212,on-time
213,delayed
214,delayed
215,on-time
216,on-time
217,on-time
218,delayed
219,delayed
220,delayed
221,delayed
222,delayed
223,delayed
224,on-time
225,on-time
226,on-time
227,on-time
228,on-time
229,delayed
230,on-time
231,delayed
232,on-time
233,on-time
234,on-time
235,delayed
236,on-time
237,on-time
238,on-time
239,on-time
240,on-time
241,on-time
242,on-time
243,on-time
244,on-time
245,on-time
246,on-time
247,on-time
248,on-time
249,on-time
