ID,Delay
1,9.5
2,6.39
3,9.24
4,11.91
5,14.48
6,9.77
7,6.32
8,13.74
9,17.34
10,3.62
11,22.43
12,9.06
13,12.95
14,6.47
15,19.34
16,8.63
17,15.46
18,18.95
19,12.63
20,8.3
21,11.54
22,8.36
23,3.32
24,7.73
25,7.73
26,8.12
27,13.66
28,17.64
29,18.87
30,15.41
31,10.72
32,11.86
33,10.8
34,14.81
35,11.1
36,18.02
37,14.55
38,18.45
39,13.07
40,4.7
41,4.51
42,17.96
43,17.66
44,4.2
45,5.08
46,13.03
47,18.0
48,5.25
49,12.45
50,9.16
51,8.44
52,10.26
53,17.48
54,5.68
55,6.09
56,0.01
57,13.33
58,13.7
59,22.91
60,5.71
61,12.86
62,19.6
63,2.74
64,17.27
65,15.3
66,10.81
67,12.72
68,16.44
69,15.34
70,9.36
71,7.88
72,22.56
73,12.34
74,12.38
75,10.76
76,16.15
77,12.35
78,16.95
79,15.53
80,13.25
81,8.75
82,1.82
83,18.27
84,13.08
85,20.95
86,14.69
87,28.05
88,9.35
89,12.84
90,26.63
91,8.38
92,10.52
93,11.19
94,9.79
95,11.24
96,4.58
97,10.73
98,4.41
99,17.13
100,4.69
101,0.9
102,11.63
103,10.94
104,21.21
105,7.54
106,11.29
107,13.11
108,16.15
109,17.5
110,7.39
111,15.97
112,23.95
113,12.16
114,12.58
115,18.58
116,12.1
117,15.14
118,13.88
119,11.59
120,13.1
121,8.88
122,19.99
123,10.04
124,2.44
125,9.25
126,2.34
127,2.22
128,20.53
129,11.17
130,15.31
131,11.61
132,16.12
133,8.23
134,16.49
135,9.27
136,18.07
137,9.07
138,12.47
139,10.86
140,16.81
141,8.46
142,2.41
143,9.19
144,19.03
145,2.14
146,9.66
147,12.96
148,13.02
149,11.57
150,8.62
151,17.68
152,10.87
153,6.86
154,12.13
155,9.96
156,7.97
157,13.32
158,4.13
159,14.17
160,11.07
161,10.26
162,4.99
163,5.66
164,8.74
165,35.41
166,14.04
167,13.76
168,6.18
169,8.34
170,8.46
171,15.84
172,7.4
173,13.41
174,11.06
175,9.73
176,7.87
177,9.31
178,21.23
179,24.79
180,16.36
181,17.66
182,13.85
183,9.62
184,10.6
185,10.32
186,16.93
187,11.49
188,7.95
189,7.67
190,18.45
191,16.57
192,17.05
193,9.4
194,13.02
195,12.48
196,14.42
197,10.32
198,9.35
199,9.91
200,0.07
201,2.28
202,15.69
203,15.13
204,3.91
205,5.25
206,4.01
207,16.02
208,4.54
209,15.27
210,15.19
211,4.25
212,24.59
213,9.11
214,33.68
215,28.1
216,10.85
217,6.03
218,16.22
219,15.83
220,9.74
221,17.01
222,9.8
223,14.83
224,6.09
225,15.93
226,28.42
227,7.2
228,9.16
229,24.64
230,3.1
231,31.21
232,23.68
233,4.73
234,11.05
235,14.25
236,14.16
237,13.31
238,16.1
239,2.53
240,10.15
241,10.18
242,8.6
243,3.07
244,7.41
245,13.47
246,3.49
247,16.13
248,11.16
249,11.06
250,10.78
251,38.46
252,15.42
253,21.86
254,29.63
255,2.62
256,27.43
257,19.23
258,13.28
259,24.38
260,16.5
261,5.91
262,6.86
263,8.42
264,17.2
265,19.78
266,16.34
267,17.1
268,18.08
269,25.58
270,8.33
271,14.83
272,23.36
273,17.83
274,9.32
275,5.7
276,12.61
277,22.07
278,0.92
279,24.97
280,1.37
281,14.4
282,6.6
283,9.24
284,14.14
285,8.75
286,16.54
287,8.32
288,5.1
289,15.27
290,10.7
291,7.5
292,14.84
293,19.25
294,14.11
295,20.22
296,19.25
297,10.86
298,11.85
299,6.07
300,9.5
301,4.97
302,6.75
303,11.49
304,10.18
305,10.39
306,19.92
307,9.45
308,16.09
309,12.91
310,12.17
311,19.42
312,11.99
313,9.88
314,6.66
315,14.93
316,20.46
317,15.3
318,11.17
319,10.19
320,20.1
321,15.08
322,10.08
323,8.73
324,9.53
325,13.6
326,9.53
327,9.47
328,15.55
329,15.01
330,6.76
331,11.19
332,6.96
333,13.53
334,16.39
335,12.66
336,16.66
337,13.88
338,7.17
339,12.13
340,13.15
341,13.42
342,11.97
343,9.63
344,16.41
345,10.81
346,10.77
347,8.93
348,8.08
349,4.27
350,7.3
351,15.3
352,6.76
353,0.11
354,2.62
355,14.08
356,12.74
357,16.93
358,9.62
359,7.74
360,20.91
361,6.57
362,3.11
363,9.56
364,10.37
365,2.51
366,9.64
367,23.61
368,15.72
369,3.93
370,1.54
371,17.74
372,11.4
373,11.74
374,14.8
375,34.15
376,19.07
377,33.5
378,14.84
379,12.9
380,10.9
381,12.39
382,20.32
383,5.08
384,13.25
385,18.79
386,8.45
387,15.18
388,14.93
389,18.15
390,32.24
391,21.47
392,12.81
393,13.93
394,22.71
395,1.16
396,10.41
397,6.11
398,9.47
399,6.01
400,5.09
401,15.21
402,10.43
403,10.0
404,5.8
405,10.94
406,7.97
407,14.97
408,1.32
409,13.36
410,11.27
411,19.61
412,12.26
413,11.53
414,8.94
415,15.51
416,11.33
417,11.59
418,8.13
419,8.26
420,7.34
421,15.32
422,14.55
423,15.82
424,13.84
425,13.27
426,12.27
427,6.71
428,14.54
429,3.99
430,12.77
431,8.34
432,17.45
433,26.82
434,9.23
435,19.93
436,5.14
437,14.13
438,13.57
439,19.61
440,16.52
441,10.46
442,18.87
443,12.78
444,25.31
445,18.36
446,7.47
447,5.54
448,11.41
449,16.72
450,10.2
451,11.41
452,19.86
453,8.85
454,4.73
455,5.94
456,10.4
457,12.96
458,19.9
459,19.34
460,16.09
461,9.97
462,7.47
463,9.96
464,23.21
465,13.03
466,10.48
467,9.94
468,11.03
469,21.14
470,20.68
471,5.78
472,9.92
473,10.21
474,18.45
475,0.04
476,5.7
477,7.5
478,3.04
479,8.46
480,8.37
481,16.7
482,12.39
483,10.61
484,3.14
485,13.08
486,20.01
487,7.34
488,22.21
489,8.22
490,17.37
491,11.29
492,14.53
493,8.62
494,28.03
495,19.18
496,10.98
497,20.88
498,19.59
499,5.92
500,16.99
501,8.41
502,22.8
503,12.22
504,12.99
505,12.95
506,9.28
507,1.69
508,10.88
509,4.97
510,5.86
511,5.61
512,3.15
513,0.21
514,13.4
515,5.74
516,5.87
517,7.37
518,14.92
519,8.67
520,11.86
521,8.62
522,23.35
523,19.64
524,15.56
525,20.71
526,9.4
527,17.51
528,4.69
529,9.37
530,9.96
531,15.61
532,19.63
533,13.59
534,9.58
535,16.83
536,17.21
537,11.93
538,12.84
539,15.85
540,9.75
541,6.42
542,18.88
543,0.5
544,8.73
545,0.48
546,0.46
547,18.21
548,10.54
549,15.49
550,11.22
551,0.5
552,17.03
553,13.67
554,13.79
555,10.36
556,6.62
557,29.33
558,8.77
559,9.76
560,12.01
561,12.64
562,11.77
563,3.89
564,13.35
565,22.77
566,18.57
567,14.17
568,10.3
569,18.7
570,3.98
571,11.62
572,3.01
573,16.07
574,11.75
575,15.32
576,3.87
577,21.2
578,13.53
579,5.58
580,6.54
581,9.17
582,15.38
583,12.52
584,6.7
585,5.57
586,8.78
587,0.79
588,10.04
589,13.47
590,8.08
591,9.18
592,13.11
593,13.44
594,13.86
595,11.45
596,11.62
597,12.28
598,9.05
599,11.79
600,10.64
601,12.39
602,3.12
603,18.03
604,11.75
605,4.49
606,11.13
607,11.33
608,8.66
609,10.39
610,20.64
611,10.43
612,19.44
613,11.35
614,21.11
615,15.67
616,11.52
617,28.82
618,23.76
619,27.42
620,20.44
621,17.44
622,17.86
623,25.32
624,20.05
625,16.85
626,28.28
627,9.63
628,14.1
629,28.68
630,13.36
631,13.11
632,10.2
633,16.59
634,13.45
635,7.91
636,21.09
637,22.49
638,4.79
639,13.59
640,18.97
641,13.08
642,7.89
643,11.93
644,15.14
645,14.63
646,21.39
647,28.49
648,13.77
649,11.52
650,16.75
651,17.38
652,16.4
653,11.27
654,21.07
655,16.68
656,21.68
657,22.35
658,20.6
659,14.17
660,16.54
661,15.89
662,25.62
663,26.6
664,26.58
665,20.75
666,22.6
667,6.82
668,7.98
669,16.97
670,24.56
671,26.22
672,24.2
673,9.6
674,22.93
675,14.85
676,14.56
677,24.53
678,9.64
679,19.28
680,9.91
681,22.81
682,6.1
683,13.85
684,10.64
685,15.73
686,12.19
687,13.57
688,25.67
689,13.57
690,13.63
691,12.44
692,12.71
693,16.96
694,13.1
695,14.13
696,13.93
697,16.68
698,20.61
699,31.59
700,12.96
701,13.34
702,36.57
703,13.26
704,26.51
705,33.54
706,24.77
707,23.67
708,11.05
709,17.52
710,18.11
711,8.86
712,8.72
713,24.02
714,18.16
715,11.0
716,20.57
717,12.09
718,8.79
719,18.65
720,3.19
721,22.7
722,14.84
723,4.77
724,13.49
725,21.5
726,16.66
727,16.57
728,5.31
729,16.32
730,21.68
731,8.59
732,32.81
733,21.07
734,2.4
735,17.48
736,35.11
737,20.46
738,12.61
739,32.31
740,18.71
741,12.69
742,15.03
743,13.52
744,16.94
745,27.51
746,21.4
747,8.18
748,11.21
749,14.8
750,16.29
751,18.98
752,8.2
753,8.19
754,13.98
755,15.78
756,16.03
757,15.64
758,11.69
759,15.64
760,14.78
761,11.4
762,13.51
763,12.63
764,8.16
765,13.76
766,18.19
767,22.06
768,14.71
769,18.34
770,22.31
771,20.74
772,18.29
773,12.61
774,14.29
775,10.86
776,10.57
777,17.62
778,11.79
779,15.25
780,10.04
781,9.15
782,23.08
783,18.78
784,25.42
785,27.63
786,7.78
787,7.83
788,7.81
789,7.82
790,23.59
791,7.36
792,7.4
793,17.62
794,15.79
795,10.93
796,20.71
797,8.97
798,21.29
799,28.9
800,19.8
801,16.4
802,12.79
803,21.71
804,23.29
805,17.18
806,17.53
807,23.07
808,11.39
809,15.52
810,14.2
811,17.23
812,12.54
813,1.43
814,6.1
815,10.77
816,7.18
817,7.15
818,11.38
819,14.01
820,10.18
821,11.57
822,27.33
823,5.89
824,15.07
825,7.54
826,10.65
827,9.85
828,10.73
829,8.26
830,12.33
831,20.75
832,30.69
833,13.94
834,21.82
835,25.28
836,15.19
837,13.49
838,3.17
839,5.45
840,19.36
841,23.46
842,17.48
843,19.6
844,26.27
845,25.19
846,23.77
847,26.43
848,16.24
849,35.25
850,12.32
851,20.54
852,14.08
853,29.99
854,14.52
855,8.5
856,18.5
857,16.16
858,16.18
859,22.29
860,22.01
861,14.71
862,16.01
863,22.16
864,6.33
865,20.61
866,9.93
867,25.07
868,21.95
869,16.89
870,11.88
871,9.54
872,15.39
873,22.15
874,24.85
875,9.03
876,12.86
877,17.43
878,13.23
879,19.83
880,36.55
881,17.22
882,17.33
883,20.95
884,17.67
885,12.45
886,16.42
887,18.96
888,14.45
889,17.97
890,17.74
891,17.9
892,19.93
893,17.38
894,16.85
895,12.69
896,18.2
897,11.68
898,18.34
899,21.72
900,9.13
901,18.67
902,14.03
903,14.94
904,14.65
905,13.65
906,13.36
907,14.6
908,31.29
909,19.31
910,14.74
911,19.05
912,11.15
913,12.57
914,11.61
915,11.59
916,15.64
917,10.68
918,17.61
919,17.37
920,4.81
921,13.2
922,11.26
923,9.44
924,15.08
925,18.08
926,11.75
927,14.45
928,14.7
929,9.69
930,5.59
931,12.32
932,6.15
933,29.73
934,27.79
935,23.98
936,8.59
937,22.42
938,22.22
939,24.11
940,22.78
941,21.93
942,21.91
943,28.62
944,6.76
945,5.83
946,12.43
947,25.65
948,15.82
949,21.8
950,8.97
951,16.53
952,22.09
953,23.67
954,16.79
955,24.46
956,20.93
957,15.05
958,8.97
959,20.9
960,23.59
961,15.42
962,27.82
963,27.87
964,26.72
965,12.61
966,10.81
967,11.97
968,14.7
969,15.69
970,15.22
971,5.6
